from_node,to_node,hour,min,max,mean,std,simulated,free_flow,bias,abs_error
304699652,277242262,18,44.52443181818182,48.404117647058825,46.37938173779234,1.9715899984323197,47.5077988555861,47.9600602108001,1.1284171177937594,1.1284171177937594
304699652,277242262,21,45.42782608695652,51.07536704730832,48.161342547095664,2.5323591804265186,47.908453371168,47.960060210800634,-0.25288917592766325,0.25288917592766325
68729577,1837584678,3,29.199121844127333,60.106631299734744,42.07216836262803,13.084987355062859,48.838553961743344,48.837250437970226,6.766385599115317,6.766385599115317
68729577,1837584678,7,29.199121844127333,56.509226932668334,40.50768701712942,11.718330198266523,48.57677760193787,48.8372504379697,8.06909058480845,8.06909058480845
68729577,1837584678,8,29.199121844127333,56.935175879396986,40.165607443518,12.149192646443336,48.403703775674394,48.8372504379697,8.238096332156395,8.238096332156395
68729577,1837584678,9,29.199121844127333,56.935175879396986,40.22128965292233,12.087719497932651,48.44413586279575,48.837250437968834,8.222846209873417,8.222846209873417
68729577,1837584678,12,29.199121844127333,51.03648648648649,39.144888375467865,9.197611630679955,48.614984967021336,48.83725043796953,9.470096591553471,9.470096591553471
68729577,1837584678,13,29.199121844127333,44.53887240356084,37.3127214707102,6.709625514471241,48.229057250759915,48.83725043796953,10.916335780049714,10.916335780049714
68729577,1837584678,16,29.199121844127333,49.80263736263736,38.869450827417865,8.645174300392457,48.22238139949101,48.83725043796953,9.352930572073149,9.352930572073149
68729577,1837584678,17,29.199121844127333,48.784068891280945,38.43204388445997,8.293785228500239,48.48770289565209,48.83725043796953,10.05565901119212,10.05565901119212
68729577,1837584678,18,29.199121844127333,57.88045977011494,41.02783898437001,12.179821361385132,48.45082613723354,48.837250437968834,7.422987152863534,7.422987152863534
68729577,1837584678,21,29.199121844127333,59.78944591029023,42.081138949386926,12.856924544838062,48.75634189881019,48.83725043796814,6.675202949423266,6.675202949423266
1444990895,1673889266,3,39.991730141458106,48.86125166444741,46.08656311874459,4.1700194594338456,43.15734735598392,43.156283714581015,-2.92921576276067,2.92921576276067
1444990895,1673889266,7,36.38851485148515,48.21026282853567,41.63862136064448,4.942463675258314,42.856781128916076,43.156283714581015,1.2181597682715974,1.2181597682715974
1444990895,1673889266,8,36.244970414201184,47.20588235294118,41.002295619919785,4.727326830066898,42.79917145910436,43.156283714581015,1.7968758391845725,1.7968758391845725
1444990895,1673889266,9,35.61279069767442,46.57799274486094,40.5948941144248,4.539068440985572,42.99830984998038,43.15628371458175,2.4034157355555834,2.4034157355555834
1444990895,1673889266,12,34.09313543599258,45.53191489361702,39.584639592978576,4.682780897178351,42.433930533186945,43.15628371458138,2.8492909402083697,2.8492909402083697
1444990895,1673889266,13,34.80340909090909,45.15826494724502,39.742031412764334,4.236505945463998,42.88532076032161,43.15628371458138,3.1432893475572783,3.1432893475572783
1444990895,1673889266,16,35.27101727447217,45.21126760563381,38.654643645567766,4.496888214462874,43.08124638708154,43.15628371458138,4.426602741513776,4.426602741513776
1444990895,1673889266,17,35.00228571428571,45.26439482961222,39.48541334714236,4.2620259681966735,42.88532076032161,43.15628371458138,3.3999074131792497,3.3999074131792497
1444990895,1673889266,18,38.08538860103627,45.42452830188679,41.32884267734639,3.097231221734396,43.15734735598392,43.156283714581015,1.828504678637536,1.828504678637536
1444990895,1673889266,21,38.80929250263991,46.18705035971223,43.846959054086454,3.4213115142883295,42.809580336246704,43.15628371458248,-1.0373787178397507,1.0373787178397507
1643976595,9904011620,3,41.990668740279936,48.93526220614828,45.85557445127254,2.9148216081527227,51.38625815118701,51.38458187859034,5.530683699914469,5.530683699914469
1643976595,9904011620,7,26.973026973026972,48.410017889087655,37.95606609549594,8.868152140463396,49.92428859511527,51.38458187859088,11.96822249961933,11.96822249961933
1643976595,9904011620,8,27.0,48.066074600355236,35.398864319677834,8.994833919878074,49.94965700706871,51.38458187859088,14.550792687390874,14.550792687390874
1643976595,9904011620,9,25.56818181818182,47.475789473684216,34.79366578974503,9.271445003655241,49.96207080191799,51.384581878587646,15.168405012172961,15.168405012172961
1643976595,9904011620,12,25.54399243140965,44.95215946843854,33.323354322590944,8.626699006005966,50.30754120569016,51.38458187858621,16.984186883099213,16.984186883099213
1643976595,9904011620,13,26.188166828322018,44.14551386623165,32.97928322973126,8.3448819844992,49.817409434162414,51.38458187858621,16.838126204431155,16.838126204431155
1643976595,9904011620,16,22.0886345053148,44.65544554455445,30.231630500513226,10.0600574423251,50.039773620500554,51.38458187858621,19.808143119987328,19.808143119987328
1643976595,9904011620,17,23.767605633802816,44.87761194029851,30.788802994958527,9.807009176915138,49.91645943947844,51.38458187858621,19.12765644451991,19.12765644451991
1643976595,9904011620,18,27.6503582395087,45.252842809364545,33.64721513895632,8.182056192752496,50.256195690788395,51.38458187858621,16.608980551832076,16.608980551832076
1643976595,9904011620,21,38.18953323903819,47.06295652173913,41.956473493796466,4.331493165054053,50.2670612211152,51.3845818785898,8.310587727318733,8.310587727318733
313534413,313533691,3,52.584696569920844,62.087595712098015,58.649856507144605,4.170062043249754,54.15105364280052,54.15035775118892,-4.498802864344086,4.498802864344086
313534413,313533691,7,51.9,61.80365853658537,57.37052075996587,4.121719871866513,54.12151992367205,54.150357751189446,-3.249000836293824,3.249000836293824
313534413,313533691,8,51.83250975292588,59.79823008849558,56.31889612812507,3.3438693239064072,54.151053642801045,54.150357751189446,-2.167842485324023,2.167842485324023
313534413,313533691,9,48.60878048780488,58.16814921090387,54.79397975851874,4.334157922623989,53.95745988401014,54.15035775118866,-0.8365198745085962,0.8365198745085962
313534413,313533691,12,51.83250975292588,57.130878186968836,54.96843878256228,2.484032710033116,54.049092135408365,54.15035775118866,-0.9193466471539153,0.9193466471539153
313534413,313533691,13,49.39182156133829,57.293181818181814,54.700273960274146,3.6462443197020313,54.151053642799994,54.15035775118866,-0.5492203174741519,0.5492203174741519
313534413,313533691,16,47.85018007202881,57.34540311173975,54.57017746464794,4.529051314305185,53.85651269468704,54.15035775118866,-0.7136647699609,0.7136647699609
313534413,313533691,17,47.56467780429595,57.50808510638298,54.71865958030051,4.793533458808821,54.151053642799994,54.15035775118866,-0.5676059375005167,0.5676059375005167
313534413,313533691,18,53.1456,57.86857962697274,56.60538113656568,2.307978119773121,54.15105364280052,54.15035775118866,-2.454327493765163,2.454327493765163
313534413,313533691,21,53.502281879194626,59.31529411764706,57.34857289397029,2.628344674172396,54.15105364280052,54.1503577511876,-3.1975192511697728,3.1975192511697728
304061297,836316907,3,34.48655332302937,40.62127659574468,38.35316038132501,2.6890409827050044,35.33803123911102,35.3368202012672,-3.0151291422139934,3.0151291422139934
304061297,836316907,7,31.250420168067226,38.62765273311897,35.39088569027423,3.1745618917319023,35.03672434028757,35.3368202012673,-0.3541613499866614,0.3541613499866614
304061297,836316907,8,31.294249649368865,38.31961722488039,35.11600771389075,3.2086681406637734,35.24824315831632,35.3368202012673,0.132235444425568,0.132235444425568
304061297,836316907,9,31.42647887323944,38.076703645007925,35.038580536940266,2.999419067861413,34.73181990908201,35.336820201267095,-0.3067606278582531,0.3067606278582531
304061297,836316907,12,32.1974025974026,37.366096423017105,34.48481199175559,2.1651137576866155,35.16776185575197,35.336820201267095,0.6829498639963774,0.6829498639963774
304061297,836316907,13,31.921030042918456,37.25023255813954,34.5569160967741,2.2322481156352136,35.338031239111636,35.336820201267095,0.7811151423375335,0.7811151423375335
304061297,836316907,16,31.07632311977716,37.13508500772797,34.26277402411607,2.6228323498854005,34.63141497916062,35.336820201267095,0.3686409550445475,0.3686409550445475
304061297,836316907,17,31.515254237288136,37.192569659442725,34.53464859916209,2.5231910322535285,34.6626547203058,35.336820201267095,0.1280061211437129,0.1280061211437129
304061297,836316907,18,31.033101529902645,37.42429906542056,34.92724303491555,2.9951340400197948,35.224093634028335,35.336820201267095,0.296850599112787,0.296850599112787
304061297,836316907,21,34.539938080495354,38.83118644067797,37.37400141555482,1.9238509120464253,35.33803123911041,35.33682020126792,-2.0359701764444154,2.0359701764444154
6206501300,1972845722,3,27.551637279596978,35.23271889400922,31.31115256601945,3.701450944005406,29.57568314991658,29.574699095085442,-1.7354694161028732,1.7354694161028732
6206501300,1972845722,7,18.96763005780347,34.950857142857146,25.924521772760386,6.930213164819523,28.79996620923987,29.574699095085908,2.8754444364794836,2.8754444364794836
6206501300,1972845722,8,18.750857142857143,34.20805369127517,24.16050084359994,7.087107906137897,28.768615552519755,29.574699095085908,4.608114708919814,4.608114708919814
6206501300,1972845722,9,18.14933628318584,33.0974025974026,23.50700232708188,6.608971021560955,28.944473950083967,29.574699095085183,5.437471623002086,5.437471623002086
6206501300,1972845722,12,19.684463107378523,30.890909090909094,23.59539957926579,4.99793036332704,28.92046588830108,29.574699095084767,5.325066309035289,5.325066309035289
6206501300,1972845722,13,19.86319612590799,30.55144855144855,23.60467724628303,4.755300660212015,28.956383626282886,29.574699095084767,5.351706379999857,5.351706379999857
6206501300,1972845722,16,19.055749128919864,30.735678391959798,22.666897781731638,5.454030176029348,28.944446645573418,29.574699095084767,6.27754886384178,6.27754886384178
